binary,x86_nodes,arm_nodes,x86_edges,arm_edges,x86_avg_in_degree,arm_avg_in_degree,x86_avg_out_degree,arm_avg_out_degree,x86_functions,arm_functions,common_functions,x86_unique_opcodes,arm_unique_opcodes,avg_cosine_distance,std_cosine_distance
logger,111,111,155,155,2.1232876712328768,2.1232876712328768,2.012987012987013,2.039473684210526,111,111,1,11,5,0.23130673170089722,0.0
recsel,275,246,436,393,2.3315508021390374,2.2982456140350878,2.4914285714285715,2.45625,275,246,3,12,9,0.12617357075214386,0.1480623334646225
expr,445,428,826,806,2.8482758620689657,2.858156028368794,2.6139240506329116,2.5916398713826365,445,428,5,11,18,0.24769440293312073,0.09819203615188599
chroot,133,116,122,119,1.605263157894737,1.63013698630137,1.4878048780487805,1.5063291139240507,133,116,0,0,0,0.0,0.0
a2ps,829,829,1283,1320,2.411654135338346,2.3404255319148937,2.4864341085271318,2.573099415204678,829,829,6,28,20,0.1991499811410904,0.08779627084732056
head,139,122,142,139,1.7317073170731707,1.759493670886076,1.6705882352941177,1.6951219512195121,139,122,0,0,0,0.0,0.0
tsort,135,118,119,116,1.6527777777777777,1.681159420289855,1.5063291139240507,1.5263157894736843,135,118,1,5,4,0.14080917835235596,0.0
strings,1932,2052,4065,4392,3.845789971617786,3.8798586572438163,3.2416267942583734,3.2317880794701987,1932,2052,6,25,23,0.21919851005077362,0.09772630780935287
revoutput.so,12,12,4,3,1.0,1.0,1.0,1.0,12,12,0,0,0,0.0,0.0
intdiv.so,11,11,5,4,1.0,1.0,1.25,1.3333333333333333,11,11,0,0,0,0.0,0.0
